order_id,customer_id,product_id,quantity,order_date
1,242,70,5,2024-10-03
2,127,113,1,2024-11-02
3,11,111,3,2024-11-05
4,65,7,1,2024-04-27
5,247,173,5,2024-10-27
6,244,6,3,2024-10-22
7,11,196,2,2024-08-28
8,133,167,4,2024-05-22
9,47,150,4,2024-11-21
10,209,126,1,2024-08-28
11,90,105,3,2024-06-13
12,172,27,2,2024-06-17
13,106,178,4,2024-05-27
14,170,103,5,2024-01-19
15,117,23,3,2024-05-09
16,83,30,4,2024-09-20
17,212,1,5,2024-08-24
18,106,14,2,2024-09-22
19,93,160,4,2024-11-16
20,114,195,1,2024-04-14
21,69,141,2,2024-05-27
22,113,179,4,2024-03-03
23,8,162,5,2024-05-02
24,182,41,3,2024-10-09
25,4,142,4,2024-02-17
26,58,216,1,2024-08-24
27,243,31,2,2024-09-12
28,239,184,3,2024-09-17
29,181,70,4,2024-09-04
30,121,63,4,2024-10-09
31,38,99,2,2024-11-02
32,131,192,2,2024-02-05
33,71,198,4,2024-06-23
34,240,202,5,2024-05-16
35,211,1,3,2024-06-01
36,215,151,5,2024-12-03
37,126,39,4,2024-10-02
38,124,89,3,2024-10-09
39,196,140,4,2024-08-21
40,239,83,2,2024-12-23
41,62,147,4,2024-04-29
42,220,199,4,2024-01-23
43,82,191,4,2024-12-27
44,234,208,4,2024-07-16
45,170,203,2,2024-09-10
46,247,10,2,2024-09-14
47,248,152,3,2024-02-21
48,224,113,1,2024-09-26
49,234,117,1,2024-03-14
50,105,168,2,2024-02-08
51,121,201,3,2024-06-22
52,160,178,4,2024-11-28
53,21,85,5,2024-07-13
54,245,82,4,2024-10-04
55,10,159,1,2024-04-30
56,162,176,3,2024-04-26
57,192,24,4,2024-02-20
58,195,163,1,2024-08-15
59,43,178,3,2024-01-15
60,12,84,1,2024-05-30
61,92,96,4,2024-03-15
62,63,136,4,2024-10-16
63,175,203,2,2024-03-28
64,45,21,5,2024-07-14
65,159,175,2,2024-09-11
66,234,150,2,2024-04-28
67,119,164,3,2024-08-23
68,66,171,1,2024-08-26
69,231,74,5,2024-03-21
70,19,114,3,2024-10-27
